id_student,code_module,code_presentation,dropout,total_clicks,total_sessions,first_active_day,last_active_day,activity_span,avg_clicks_per_day,num_assessments_submitted,avg_score,min_score,num_low_scores,avg_submission_delay,gender,age_band,region,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability
111717,AAA,2013J,0,581.0,17.0,-10.0,17.0,27.0,34.1764705882353,1.0,80.0,80.0,0.0,-9.0,F,35-55,East Anglian Region,HE Qualification,90-100%,0,60,N
113295,AAA,2013J,0,703.0,18.0,-9.0,19.0,28.0,39.05555555555556,1.0,81.0,81.0,0.0,0.0,M,35-55,Yorkshire Region,Lower Than A Level,60-70%,0,60,N
114017,AAA,2013J,0,343.0,10.0,-9.0,15.0,24.0,34.3,1.0,66.0,66.0,0.0,-1.0,F,35-55,North Region,Post Graduate Qualification,?,0,60,N
114999,AAA,2013J,0,271.0,17.0,-10.0,19.0,29.0,15.941176470588236,1.0,74.0,74.0,0.0,-1.0,M,35-55,Yorkshire Region,HE Qualification,60-70%,0,60,N
116541,AAA,2013J,0,333.0,12.0,0.0,19.0,19.0,27.75,1.0,76.0,76.0,0.0,0.0,M,0-35,Wales,HE Qualification,0-10%,0,60,N
116692,AAA,2013J,0,472.0,14.0,-10.0,19.0,29.0,33.714285714285715,1.0,72.0,72.0,0.0,-3.0,M,35-55,East Anglian Region,A Level or Equivalent,70-80%,0,60,N
118983,AAA,2013J,0,59.0,7.0,-10.0,19.0,29.0,8.428571428571429,1.0,73.0,73.0,0.0,0.0,M,0-35,East Midlands Region,HE Qualification,30-40%,0,120,N
123044,AAA,2013J,0,470.0,12.0,-10.0,19.0,29.0,39.166666666666664,0.0,0.0,0.0,0.0,0.0,M,35-55,South Region,A Level or Equivalent,40-50%,0,60,N
127582,AAA,2013J,0,180.0,14.0,-10.0,20.0,30.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,F,0-35,East Midlands Region,A Level or Equivalent,40-50%,0,180,N
129955,AAA,2013J,1,307.0,18.0,-10.0,18.0,28.0,17.055555555555557,1.0,85.0,85.0,0.0,-1.0,M,0-35,West Midlands Region,A Level or Equivalent,50-60%,0,60,N
132976,AAA,2013J,0,143.0,6.0,-10.0,16.0,26.0,23.833333333333332,1.0,63.0,63.0,0.0,-1.0,F,35-55,East Anglian Region,Lower Than A Level,80-90%,0,120,N
134143,AAA,2013J,0,557.0,15.0,-10.0,20.0,30.0,37.13333333333333,1.0,87.0,87.0,0.0,-1.0,F,35-55,South East Region,A Level or Equivalent,90-100%,0,60,N
135335,AAA,2013J,1,46.0,7.0,-10.0,17.0,27.0,6.571428571428571,0.0,0.0,0.0,0.0,0.0,F,0-35,East Anglian Region,Lower Than A Level,20-30%,0,180,N
135400,AAA,2013J,1,158.0,10.0,2.0,19.0,17.0,15.8,1.0,72.0,72.0,0.0,0.0,F,35-55,South East Region,Lower Than A Level,90-100%,0,60,Y
137873,AAA,2013J,0,791.0,18.0,-10.0,20.0,30.0,43.94444444444444,1.0,72.0,72.0,0.0,-4.0,M,35-55,South West Region,A Level or Equivalent,40-50%,0,60,N
141355,AAA,2013J,0,500.0,14.0,-9.0,20.0,29.0,35.714285714285715,1.0,77.0,77.0,0.0,0.0,F,0-35,East Midlands Region,A Level or Equivalent,30-40%,0,240,N
141377,AAA,2013J,1,7.0,3.0,3.0,17.0,14.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,M,0-35,South West Region,A Level or Equivalent,90-100%,0,345,N
142326,AAA,2013J,0,359.0,9.0,-5.0,17.0,22.0,39.888888888888886,1.0,65.0,65.0,0.0,-2.0,F,35-55,North Region,A Level or Equivalent,50-60%,0,60,N
144801,AAA,2013J,0,958.0,26.0,-10.0,20.0,30.0,36.84615384615385,1.0,61.0,61.0,0.0,0.0,F,35-55,South Region,HE Qualification,80-90%,0,60,N
145130,AAA,2013J,0,215.0,9.0,-10.0,19.0,29.0,23.88888888888889,1.0,75.0,75.0,0.0,0.0,M,0-35,South West Region,HE Qualification,60-70%,0,120,N
146188,AAA,2013J,0,129.0,7.0,-10.0,19.0,29.0,18.428571428571427,1.0,52.0,52.0,0.0,0.0,F,0-35,West Midlands Region,A Level or Equivalent,20-30%,0,60,Y
147756,AAA,2013J,0,375.0,20.0,-10.0,18.0,28.0,18.75,1.0,77.0,77.0,0.0,-1.0,M,0-35,North Region,Lower Than A Level,60-70%,0,120,N
147793,AAA,2013J,1,19.0,2.0,-9.0,-4.0,5.0,9.5,0.0,0.0,0.0,0.0,0.0,F,0-35,North Region,Lower Than A Level,80-90%,0,90,N
148993,AAA,2013J,1,667.0,28.0,-10.0,19.0,29.0,23.821428571428573,0.0,0.0,0.0,0.0,0.0,F,35-55,North Western Region,A Level or Equivalent,30-40%,0,60,Y
151358,AAA,2013J,0,37.0,5.0,2.0,17.0,15.0,7.4,1.0,54.0,54.0,0.0,-2.0,F,0-35,London Region,A Level or Equivalent,80-90%,0,150,N
155550,AAA,2013J,0,439.0,13.0,-10.0,20.0,30.0,33.76923076923077,1.0,75.0,75.0,0.0,0.0,M,35-55,London Region,A Level or Equivalent,0-10%,0,420,N
155854,AAA,2013J,0,833.0,27.0,-10.0,20.0,30.0,30.85185185185185,1.0,82.0,82.0,0.0,-1.0,F,35-55,East Midlands Region,A Level or Equivalent,20-30%,0,60,N
155984,AAA,2013J,1,526.0,15.0,-10.0,19.0,29.0,35.06666666666667,1.0,85.0,85.0,0.0,0.0,F,0-35,East Anglian Region,Lower Than A Level,70-80%,0,60,N
157568,AAA,2013J,0,364.0,15.0,-9.0,18.0,27.0,24.266666666666666,1.0,79.0,79.0,0.0,-1.0,F,0-35,South West Region,A Level or Equivalent,90-100%,0,60,N
159954,AAA,2013J,1,466.0,22.0,-10.0,19.0,29.0,21.181818181818183,1.0,65.0,65.0,0.0,0.0,M,35-55,East Midlands Region,A Level or Equivalent,40-50%,0,60,N
164259,AAA,2013J,0,84.0,6.0,-10.0,18.0,28.0,14.0,1.0,82.0,82.0,0.0,-1.0,M,0-35,Scotland,A Level or Equivalent,70-80%,0,60,N
167906,AAA,2013J,0,399.0,14.0,-10.0,19.0,29.0,28.5,1.0,60.0,60.0,0.0,0.0,F,35-55,Yorkshire Region,A Level or Equivalent,40-50%,0,60,N
168936,AAA,2013J,0,249.0,9.0,0.0,19.0,19.0,27.666666666666668,1.0,76.0,76.0,0.0,0.0,F,35-55,West Midlands Region,Lower Than A Level,10-20,0,60,N
172112,AAA,2013J,0,291.0,21.0,-10.0,20.0,30.0,13.857142857142858,1.0,60.0,60.0,0.0,0.0,M,35-55,Ireland,HE Qualification,?,0,60,N
172797,AAA,2013J,0,236.0,8.0,-10.0,19.0,29.0,29.5,1.0,60.0,60.0,0.0,-1.0,F,35-55,Ireland,A Level or Equivalent,?,0,60,N
174782,AAA,2013J,0,1213.0,30.0,-10.0,20.0,30.0,40.43333333333333,1.0,83.0,83.0,0.0,-2.0,M,55<=,East Anglian Region,HE Qualification,90-100%,0,60,N
175392,AAA,2013J,0,1260.0,28.0,-10.0,20.0,30.0,45.0,1.0,85.0,85.0,0.0,-3.0,M,35-55,North Region,HE Qualification,?,0,60,N
175932,AAA,2013J,0,605.0,19.0,-10.0,20.0,30.0,31.842105263157894,1.0,76.0,76.0,0.0,-1.0,M,35-55,North Western Region,HE Qualification,70-80%,0,60,N
175991,AAA,2013J,0,94.0,5.0,-7.0,17.0,24.0,18.8,1.0,51.0,51.0,0.0,-4.0,F,0-35,North Western Region,A Level or Equivalent,80-90%,0,180,N
180753,AAA,2013J,0,513.0,21.0,-10.0,20.0,30.0,24.428571428571427,1.0,61.0,61.0,0.0,-1.0,M,0-35,South West Region,A Level or Equivalent,30-40%,0,120,N
181316,AAA,2013J,1,381.0,11.0,-10.0,20.0,30.0,34.63636363636363,1.0,76.0,76.0,0.0,1.0,F,35-55,South West Region,A Level or Equivalent,80-90%,0,120,N
183096,AAA,2013J,0,594.0,19.0,-10.0,19.0,29.0,31.263157894736842,1.0,57.0,57.0,0.0,0.0,F,0-35,South West Region,A Level or Equivalent,60-70%,0,60,N
183947,AAA,2013J,0,210.0,6.0,-3.0,19.0,22.0,35.0,1.0,67.0,67.0,0.0,0.0,M,0-35,London Region,A Level or Equivalent,10-20,0,180,N
184271,AAA,2013J,0,349.0,24.0,-10.0,19.0,29.0,14.541666666666666,1.0,65.0,65.0,0.0,-1.0,M,35-55,South West Region,HE Qualification,80-90%,0,170,N
185439,AAA,2013J,0,270.0,10.0,-10.0,19.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,M,0-35,London Region,HE Qualification,10-20,0,120,N
186149,AAA,2013J,0,825.0,25.0,-10.0,19.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,M,35-55,Scotland,HE Qualification,30-40%,0,60,N
187100,AAA,2013J,0,2330.0,31.0,-10.0,20.0,30.0,75.16129032258064,1.0,88.0,88.0,0.0,-2.0,M,35-55,South East Region,A Level or Equivalent,50-60%,0,60,N
188278,AAA,2013J,1,983.0,20.0,-10.0,20.0,30.0,49.15,1.0,76.0,76.0,0.0,0.0,M,35-55,Yorkshire Region,A Level or Equivalent,70-80%,0,120,N
189879,AAA,2013J,0,325.0,10.0,-8.0,19.0,27.0,32.5,1.0,76.0,76.0,0.0,0.0,M,0-35,Scotland,A Level or Equivalent,90-100%,0,120,N
192183,AAA,2013J,0,623.0,23.0,-10.0,20.0,30.0,27.08695652173913,1.0,75.0,75.0,0.0,0.0,F,0-35,South West Region,Lower Than A Level,90-100%,0,60,N
195262,AAA,2013J,1,169.0,7.0,-5.0,20.0,25.0,24.142857142857142,0.0,0.0,0.0,0.0,0.0,M,0-35,London Region,A Level or Equivalent,90-100%,0,60,N
200860,AAA,2013J,0,221.0,17.0,-10.0,18.0,28.0,13.0,1.0,69.0,69.0,0.0,-1.0,M,35-55,London Region,Lower Than A Level,50-60%,0,60,N
202635,AAA,2013J,1,638.0,19.0,-10.0,20.0,30.0,33.578947368421055,0.0,0.0,0.0,0.0,0.0,F,0-35,Wales,A Level or Equivalent,30-40%,0,60,N
205350,AAA,2013J,0,571.0,20.0,-10.0,19.0,29.0,28.55,1.0,75.0,75.0,0.0,0.0,M,35-55,South West Region,HE Qualification,80-90%,0,60,N
205719,AAA,2013J,0,233.0,9.0,-1.0,19.0,20.0,25.88888888888889,1.0,67.0,67.0,0.0,0.0,M,0-35,East Anglian Region,A Level or Equivalent,40-50%,0,90,Y
227499,AAA,2013J,0,777.0,23.0,-10.0,20.0,30.0,33.78260869565217,1.0,84.0,84.0,0.0,0.0,F,35-55,London Region,A Level or Equivalent,10-20,0,60,N
227517,AAA,2013J,0,563.0,17.0,-10.0,18.0,28.0,33.11764705882353,1.0,63.0,63.0,0.0,-1.0,M,0-35,Ireland,HE Qualification,?,0,180,N
228082,AAA,2013J,0,78.0,10.0,-10.0,20.0,30.0,7.8,1.0,58.0,58.0,0.0,0.0,M,0-35,London Region,HE Qualification,60-70%,0,60,N
228222,AAA,2013J,0,69.0,6.0,0.0,18.0,18.0,11.5,1.0,71.0,71.0,0.0,0.0,M,0-35,East Midlands Region,Lower Than A Level,50-60%,0,60,N
229179,AAA,2013J,0,200.0,10.0,-6.0,19.0,25.0,20.0,1.0,64.0,64.0,0.0,0.0,M,0-35,West Midlands Region,A Level or Equivalent,20-30%,0,60,N
229361,AAA,2013J,0,139.0,15.0,-10.0,18.0,28.0,9.266666666666667,1.0,81.0,81.0,0.0,-1.0,M,0-35,East Midlands Region,A Level or Equivalent,50-60%,0,60,N
231554,AAA,2013J,0,481.0,14.0,-9.0,20.0,29.0,34.357142857142854,1.0,80.0,80.0,0.0,0.0,M,0-35,London Region,A Level or Equivalent,40-50%,0,240,N
235507,AAA,2013J,1,154.0,12.0,-10.0,18.0,28.0,12.833333333333334,1.0,65.0,65.0,0.0,-1.0,M,0-35,Yorkshire Region,A Level or Equivalent,90-100%,0,240,N
236284,AAA,2013J,0,132.0,4.0,16.0,20.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,M,0-35,Scotland,Post Graduate Qualification,90-100%,0,60,N
238007,AAA,2013J,0,429.0,20.0,-10.0,19.0,29.0,21.45,1.0,83.0,83.0,0.0,0.0,M,55<=,South Region,HE Qualification,90-100%,0,60,N
240712,AAA,2013J,0,60.0,5.0,-9.0,19.0,28.0,12.0,1.0,82.0,82.0,0.0,0.0,M,0-35,London Region,HE Qualification,80-90%,0,80,N
240884,AAA,2013J,0,161.0,6.0,-6.0,18.0,24.0,26.833333333333332,1.0,74.0,74.0,0.0,-1.0,M,0-35,South Region,A Level or Equivalent,90-100%,0,120,N
241649,AAA,2013J,0,586.0,22.0,-10.0,19.0,29.0,26.636363636363637,1.0,85.0,85.0,0.0,-3.0,M,35-55,East Anglian Region,HE Qualification,90-100%,0,60,N
241729,AAA,2013J,0,279.0,16.0,-10.0,20.0,30.0,17.4375,1.0,51.0,51.0,0.0,0.0,F,35-55,East Midlands Region,HE Qualification,60-70%,0,60,N
242793,AAA,2013J,0,158.0,9.0,-10.0,16.0,26.0,17.555555555555557,1.0,66.0,66.0,0.0,-1.0,M,35-55,London Region,HE Qualification,20-30%,0,60,N
246834,AAA,2013J,0,355.0,13.0,-10.0,18.0,28.0,27.307692307692307,1.0,60.0,60.0,0.0,-1.0,M,35-55,South West Region,A Level or Equivalent,90-100%,0,60,N
248270,AAA,2013J,0,624.0,29.0,-10.0,20.0,30.0,21.517241379310345,1.0,77.0,77.0,0.0,0.0,M,0-35,North Western Region,Lower Than A Level,20-30%,0,90,N
255548,AAA,2013J,0,991.0,29.0,-10.0,20.0,30.0,34.172413793103445,1.0,84.0,84.0,0.0,0.0,M,35-55,Wales,Lower Than A Level,20-30%,0,60,N
256815,AAA,2013J,0,133.0,5.0,-10.0,4.0,14.0,26.6,0.0,0.0,0.0,0.0,0.0,M,0-35,North Western Region,HE Qualification,10-20,0,120,N
258392,AAA,2013J,0,249.0,13.0,-10.0,20.0,30.0,19.153846153846153,1.0,58.0,58.0,0.0,-1.0,F,0-35,West Midlands Region,Lower Than A Level,30-40%,0,60,N
258894,AAA,2013J,0,717.0,29.0,-10.0,20.0,30.0,24.724137931034484,1.0,58.0,58.0,0.0,0.0,F,35-55,East Anglian Region,Lower Than A Level,70-80%,0,60,N
260355,AAA,2013J,1,100.0,7.0,-9.0,15.0,24.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,F,35-55,London Region,A Level or Equivalent,80-90%,0,60,N
262011,AAA,2013J,0,352.0,15.0,-7.0,17.0,24.0,23.466666666666665,1.0,60.0,60.0,0.0,-1.0,M,35-55,East Midlands Region,A Level or Equivalent,20-30%,0,60,N
262934,AAA,2013J,0,800.0,19.0,-10.0,18.0,28.0,42.10526315789474,1.0,81.0,81.0,0.0,-1.0,F,35-55,North Western Region,A Level or Equivalent,30-40%,0,60,N
268073,AAA,2013J,0,654.0,13.0,-3.0,20.0,23.0,50.30769230769231,1.0,64.0,64.0,0.0,-1.0,M,35-55,East Anglian Region,A Level or Equivalent,10-20,0,90,N
268733,AAA,2013J,1,50.0,3.0,-2.0,11.0,13.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,M,0-35,East Anglian Region,A Level or Equivalent,30-40%,0,180,N
271251,AAA,2013J,0,856.0,24.0,-10.0,19.0,29.0,35.666666666666664,1.0,80.0,80.0,0.0,0.0,M,35-55,Scotland,A Level or Equivalent,80-90%,0,60,N
277880,AAA,2013J,1,977.0,20.0,-8.0,20.0,28.0,48.85,1.0,70.0,70.0,0.0,1.0,F,0-35,South East Region,A Level or Equivalent,60-70%,0,60,N
279572,AAA,2013J,0,362.0,16.0,-10.0,16.0,26.0,22.625,1.0,79.0,79.0,0.0,-1.0,M,0-35,London Region,Lower Than A Level,40-50%,0,60,N
281022,AAA,2013J,0,132.0,11.0,-8.0,18.0,26.0,12.0,1.0,70.0,70.0,0.0,-1.0,F,0-35,Scotland,A Level or Equivalent,30-40%,0,150,N
281250,AAA,2013J,0,79.0,6.0,-10.0,19.0,29.0,13.166666666666666,1.0,63.0,63.0,0.0,-1.0,M,35-55,Wales,Lower Than A Level,70-80%,0,60,N
281589,AAA,2013J,0,49.0,4.0,-9.0,13.0,22.0,12.25,0.0,0.0,0.0,0.0,0.0,M,0-35,North Western Region,HE Qualification,30-40%,0,60,N
282821,AAA,2013J,0,739.0,16.0,-10.0,20.0,30.0,46.1875,1.0,61.0,61.0,0.0,0.0,M,35-55,South West Region,A Level or Equivalent,30-40%,0,60,N
286488,AAA,2013J,0,109.0,10.0,-7.0,18.0,25.0,10.9,1.0,55.0,55.0,0.0,-1.0,M,35-55,South East Region,A Level or Equivalent,90-100%,0,60,N
287548,AAA,2013J,0,191.0,8.0,-10.0,16.0,26.0,23.875,0.0,0.0,0.0,0.0,0.0,M,0-35,East Anglian Region,A Level or Equivalent,90-100%,0,120,N
290201,AAA,2013J,0,487.0,14.0,-8.0,19.0,27.0,34.785714285714285,1.0,78.0,78.0,0.0,-1.0,M,0-35,Wales,A Level or Equivalent,20-30%,0,60,N
290757,AAA,2013J,0,131.0,6.0,-9.0,18.0,27.0,21.833333333333332,1.0,75.0,75.0,0.0,-1.0,M,0-35,North Western Region,A Level or Equivalent,30-40%,0,60,N
291334,AAA,2013J,0,1255.0,27.0,-10.0,20.0,30.0,46.48148148148148,1.0,85.0,85.0,0.0,-1.0,M,35-55,South East Region,A Level or Equivalent,90-100%,0,60,N
293699,AAA,2013J,0,6.0,2.0,-1.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,M,0-35,East Midlands Region,A Level or Equivalent,70-80%,0,120,N
294570,AAA,2013J,0,430.0,17.0,-7.0,19.0,26.0,25.294117647058822,1.0,72.0,72.0,0.0,-3.0,M,55<=,South East Region,HE Qualification,90-100%,0,60,N
294594,AAA,2013J,0,172.0,10.0,0.0,18.0,18.0,17.2,1.0,61.0,61.0,0.0,-1.0,M,0-35,South East Region,A Level or Equivalent,90-100%,0,60,N
295741,AAA,2013J,0,226.0,14.0,-8.0,18.0,26.0,16.142857142857142,1.0,38.0,38.0,1.0,-1.0,M,35-55,South East Region,A Level or Equivalent,40-50%,0,240,N
296332,AAA,2013J,0,614.0,18.0,-10.0,20.0,30.0,34.111111111111114,1.0,91.0,91.0,0.0,-1.0,M,55<=,South Region,Post Graduate Qualification,90-100%,0,60,N
298696,AAA,2013J,0,203.0,15.0,-10.0,20.0,30.0,13.533333333333333,1.0,77.0,77.0,0.0,0.0,F,0-35,South East Region,HE Qualification,80-90%,0,60,N
300398,AAA,2013J,0,616.0,18.0,-10.0,18.0,28.0,34.22222222222222,1.0,82.0,82.0,0.0,1.0,M,35-55,West Midlands Region,A Level or Equivalent,30-40%,0,60,N
302302,AAA,2013J,0,153.0,9.0,-10.0,18.0,28.0,17.0,1.0,58.0,58.0,0.0,-1.0,F,0-35,East Anglian Region,A Level or Equivalent,40-50%,0,60,N
305152,AAA,2013J,0,111.0,6.0,-8.0,19.0,27.0,18.5,1.0,64.0,64.0,0.0,0.0,M,0-35,North Western Region,A Level or Equivalent,70-80%,0,60,N
305386,AAA,2013J,0,543.0,20.0,-5.0,20.0,25.0,27.15,1.0,75.0,75.0,0.0,0.0,M,0-35,West Midlands Region,A Level or Equivalent,70-80%,0,120,Y
306107,AAA,2013J,0,148.0,9.0,1.0,18.0,17.0,16.444444444444443,1.0,73.0,73.0,0.0,-1.0,M,35-55,West Midlands Region,A Level or Equivalent,50-60%,0,120,N
306466,AAA,2013J,0,363.0,12.0,-10.0,7.0,17.0,30.25,1.0,81.0,81.0,0.0,-12.0,M,35-55,East Anglian Region,A Level or Equivalent,90-100%,0,60,N
306897,AAA,2013J,0,968.0,30.0,-10.0,20.0,30.0,32.266666666666666,1.0,72.0,72.0,0.0,-3.0,F,0-35,London Region,A Level or Equivalent,10-20,0,60,N
307061,AAA,2013J,0,247.0,11.0,-9.0,19.0,28.0,22.454545454545453,1.0,82.0,82.0,0.0,0.0,F,0-35,East Midlands Region,HE Qualification,10-20,0,60,N
307866,AAA,2013J,0,393.0,15.0,-10.0,19.0,29.0,26.2,1.0,47.0,47.0,0.0,0.0,M,0-35,West Midlands Region,A Level or Equivalent,70-80%,0,60,N
311917,AAA,2013J,0,540.0,15.0,-5.0,19.0,24.0,36.0,1.0,55.0,55.0,0.0,-1.0,M,55<=,South West Region,A Level or Equivalent,60-70%,0,120,N
312537,AAA,2013J,0,3084.0,31.0,-10.0,20.0,30.0,99.48387096774194,1.0,88.0,88.0,0.0,0.0,M,55<=,South Region,Post Graduate Qualification,90-100%,0,60,N
312782,AAA,2013J,0,108.0,7.0,-10.0,18.0,28.0,15.428571428571429,1.0,89.0,89.0,0.0,-1.0,M,0-35,South Region,A Level or Equivalent,90-100%,0,60,N
318933,AAA,2013J,0,425.0,26.0,-10.0,20.0,30.0,16.346153846153847,1.0,70.0,70.0,0.0,-3.0,F,0-35,East Anglian Region,HE Qualification,80-90%,0,120,N
319047,AAA,2013J,0,862.0,26.0,-10.0,20.0,30.0,33.15384615384615,0.0,0.0,0.0,0.0,0.0,F,0-35,East Midlands Region,A Level or Equivalent,50-60%,0,60,N
321942,AAA,2013J,0,2369.0,29.0,-10.0,20.0,30.0,81.6896551724138,1.0,82.0,82.0,0.0,-2.0,M,55<=,South Region,HE Qualification,90-100%,0,60,N
324002,AAA,2013J,0,632.0,24.0,-9.0,20.0,29.0,26.333333333333332,1.0,85.0,85.0,0.0,0.0,M,35-55,East Anglian Region,HE Qualification,40-50%,0,60,N
324084,AAA,2013J,0,336.0,18.0,-10.0,20.0,30.0,18.666666666666668,1.0,58.0,58.0,0.0,-3.0,F,35-55,South West Region,A Level or Equivalent,10-20,0,60,N
